Team,URL
Air Force Falcons,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Air_Force_Falcons_logo-300x300.png
Akron Zips,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Akron_Zips_logo-300x300.png
Alabama Crimson Tide,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Alabama_Crimson_Tide_logo-300x300.png
Appalachian State Mountaineers,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Appalachian_State_Mountaineers_logo-300x300.png
Arizona State Sun Devils,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Arizona_State_Sun_Devils_logo-300x300.png
Arizona Wildcats,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Arizona_Wildcats_logo-300x300.png
Arkansas Razorbacks,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Arkansas_Razorbacks_logo-300x300.png
Arkansas State Red Wolves,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Arkansas_State_Red_Wolves_logo-300x300.png
Army Black Knights,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Army_West_Point_Black_Knights_logo-300x300.png
Auburn Tigers,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Auburn_Tigers_logo-300x300.png
Ball State Cardinals,https://github.com/Lou34964/FBS-Logo-Library/blob/8af32666c5d64009b34046e53d361af761713a5f/CFB%20Logos/Ball_State_Cardinals_logo-300x300.png
