School,Primary Hex,Secondary Hex,Fallback Hex
Air Force Falcons,#003594,#FFFFFF,
Akron Zips,#041E42,#FFFFFF,
Alabama Crimson Tide,#B30838,#FFFFFF,
Appalachian State Mountaineers,#222222,#FFFFFF,
Arizona Wildcats,#AB0520,#FFFFFF,
Arizona State Sun Devils,#7D2248,#FFFFFF,
Arkansas Razorbacks,#A41F35,#FFFFFF,
Arkansas State Red Wolves,#CC092F,#FFFFFF,
Army Black Knights,#2C2A29,#FFFFFF,
Auburn Tigers,#03244D,#FFFFFF,
Ball State Cardinals,#BA0C2F,#FFFFFF,
Baylor Bears,#154734,#FFFFFF,
Boise State Broncos,#0033A0,#FFFFFF,
Boston College Eagles,#8C2232,#FFFFFF,
Bowling Green Falcons,#4F2C1D,#FFFFFF,
Buffalo Bulls,#005BBB,#FFFFFF,
BYU Cougars,#003DA5,#FFFFFF,
California Golden Bears,#041E42,#FFFFFF,
Central Michigan Chippewas,#6A0032,#FFFFFF,
Charlotte 49ers,#005035,#FFFFFF,
Cincinnati Bearcats,#E00122,#FFFFFF,
Clemson Tigers,#F56600,#FFFFFF,
Coastal Carolina Chanticleers,#006F71,#FFFFFF,
Colorado Buffaloes,#000000,#FFFFFF,#CFB87C
Colorado State Rams,#1E4D2B,#FFFFFF,
Delaware Fightin' Blue Hens,#00539F,#FFFFFF,
Duke Blue Devils,#013088,#FFFFFF,
East Carolina Pirates,#582C83,#FFFFFF,
Eastern Michigan Eagles,#046A38,#FFFFFF,
Florida Atlantic Owls,#003366,#FFFFFF,
FIU Panthers,#081E3F,#FFFFFF,
Florida Gators,#003087,#FFFFFF,
Florida State Seminoles,#782F40,#FFFFFF,
Fresno State Bulldogs,#C41230,#FFFFFF,
Georgia Bulldogs,#BA0C2F,#FFFFFF,
Georgia Southern Eagles,#041E42,#FFFFFF,
Georgia State Panthers,#0039A6,#FFFFFF,
Georgia Tech Yellow Jackets,#B3A369,#000000,
Hawaiʻi Rainbow Warriors,#005838,#FFFFFF,
Houston Cougars,#C92A39,#FFFFFF,
Illinois Fighting Illini,#13294B,#FFFFFF,
Indiana Hoosiers,#990000,#FFFFFF,
Iowa Hawkeyes,#000000,#FFFFFF,#FCD116
Iowa State Cyclones,#822433,#FFFFFF,
Jacksonville State Gamecocks,#CA2026,#FFFFFF,
James Madison Dukes,#450084,#FFFFFF,
Kansas Jayhawks,#0051BA,#FFFFFF,
Kansas State Wildcats,#330A57,#FFFFFF,
Kennesaw State Owls,#0B1315,#FFFFFF,
Kent State Golden Flashes,#002664,#FFFFFF,
Kentucky Wildcats,#0033A0,#FFFFFF,
Liberty Flames,#0A254E,#FFFFFF,
Louisiana Ragin' Cajuns,#CE181E,#FFFFFF,
Louisiana Tech Bulldogs,#003087,#FFFFFF,
Louisville Cardinals,#C9001F,#FFFFFF,
LSU Tigers,#461D7C,#FFFFFF,
Marshall Thundering Herd,#00B140,#FFFFFF,
Maryland Terrapins,#E21833,#FFFFFF,
Memphis Tigers,#004991,#FFFFFF,
Miami (FL) Hurricanes,#005030,#FFFFFF,
Miami (OH) RedHawks,#B61E2E,#FFFFFF,
Michigan Wolverines,#00274C,#FFFFFF,
Michigan State Spartans,#173F35,#FFFFFF,
Middle Tennessee Blue Raiders,#0066CC,#FFFFFF,
Minnesota Golden Gophers,#5B0013,#FFFFFF,
Mississippi State Bulldogs,#5D1725,#FFFFFF,
Missouri Tigers,#000000,#FFFFFF,#FDB719
Missouri State Bears,#5E0009,#FFFFFF,
Navy Midshipmen,#00225B,#FFFFFF,
NC State Wolfpack,#CC0000,#FFFFFF,
Nebraska Cornhuskers,#D00000,#FFFFFF,
Nevada Wolf Pack,#041E42,#FFFFFF,
New Mexico Lobos,#BA0C2F,#FFFFFF,
New Mexico State Aggies,#7E141B,#FFFFFF,
North Carolina Tar Heels,#7BAFD4,#FFFFFF,
North Texas Mean Green,#00853E,#FFFFFF,
Northern Illinois Huskies,#BA0C2F,#FFFFFF,
Northwestern Wildcats,#4E2A84,#FFFFFF,
Notre Dame Fighting Irish,#0C2340,#FFFFFF,
Ohio Bobcats,#154734,#FFFFFF,
Ohio State Buckeyes,#BA0C2F,#FFFFFF,
Oklahoma Sooners,#841617,#FFFFFF,
Oklahoma State Cowboys,#FE5C00,#FFFFFF,
Old Dominion Monarchs,#003767,#FFFFFF,
Ole Miss Rebels,#14213D,#FFFFFF,
Oregon Ducks,#007030,#FFFFFF,
Oregon State Beavers,#D73F09,#FFFFFF,
Penn State Nittany Lions,#001E44,#FFFFFF,
Pittsburgh Panthers,#003594,#FFFFFF,
Purdue Boilermakers,#000000,#FFFFFF,#CFB991
Rice Owls,#00205B,#FFFFFF,
Rutgers Scarlet Knights,#CC0033,#FFFFFF,
Sam Houston Bearkats,#F56423,#000000,
San Diego State Aztecs,#C41230,#FFFFFF,
San Jose State Spartans,#0038A8,#FFFFFF,
SMU Mustangs,#CC0035,#FFFFFF,
South Alabama Jaguars,#00205B,#FFFFFF,
South Carolina Gamecocks,#73000A,#FFFFFF,
South Florida Bulls,#006747,#FFFFFF,
Southern Miss Golden Eagles,#000000,#FFFFFF,#FFD046
Stanford Cardinal,#8C1515,#FFFFFF,
Syracuse Orange,#FF431B,#FFFFFF,
TCU Horned Frogs,#4D1979,#FFFFFF,
Temple Owls,#990033,#FFFFFF,
Tennessee Volunteers,#FF8200,#FFFFFF,
Texas Longhorns,#BF5700,#FFFFFF,
Texas A&M Aggies,#500000,#FFFFFF,
Texas State Bobcats,#501214,#FFFFFF,
Texas Tech Red Raiders,#E90802,#FFFFFF,
Toledo Rockets,#0B2240,#FFFFFF,
Troy Trojans,#98002E,#FFFFFF,
Tulane Green Wave,#006548,#FFFFFF,
Tulsa Golden Hurricane,#003595,#FFFFFF,
UAB Blazers,#1A5632,#FFFFFF,
UCF Knights,#000000,#FFFFFF,#B7A369
UCLA Bruins,#2774AE,#FFFFFF,
UConn Huskies,#000E2F,#FFFFFF,
ULM Warhawks,#840029,#FFFFFF,
UMass Minutemen,#881C1C,#FFFFFF,
UNLV Rebels,#CF0A2C,#FFFFFF,
USC Trojans,#9D2235,#FFFFFF,
Utah Utes,#BE0000,#FFFFFF,
Utah State Aggies,#00263A,#FFFFFF,
UTEP Miners,#041E42,#FFFFFF,
UTSA Roadrunners,#0B2240,#FFFFFF,
Vanderbilt Commodores,#000000,#FFFFFF,#CFAE70
Virginia Cavaliers,#232D4B,#FFFFFF,
Virginia Tech Hokies,#861F41,#FFFFFF,
Wake Forest Demon Deacons,#2C2A29,#FFFFFF,
Washington Huskies,#33006F,#FFFFFF,
Washington State Cougars,#981E32,#FFFFFF,
West Virginia Mountaineers,#002855,#FFFFFF,
Western Kentucky Hilltoppers,#B01E24,#FFFFFF,
Western Michigan Broncos,#532E1F,#FFFFFF,
Wisconsin Badgers,#C5050C,#FFFFFF,
Wyoming Cowboys,#492F24,#FFFFFF,
