name,url
Abilene Christian,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg
Air Force,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/air-force.svg
Akron,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/akron.svg
Alabama,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg
Alabama A&M,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg
Alabama State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-st.svg
Albany Ny,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg
Alcorn State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alcorn.svg
Appalachian State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/appalachian-st.svg
Arizona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg
Arizona State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg
Ark - Pine Bluff,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ark-pine-bluff.svg
Arkansas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg
Arkansas State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-st.svg
Army,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/army.svg
Auburn,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg
Austin Peay,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/austin-peay.svg
BYU,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/byu.svg
Ball State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ball-st.svg
Baylor,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg
Bethune-Cookman,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethune-cookman.svg
Boise State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boise-st.svg
Boston College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-college.svg
Bowling Green,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowling-green.svg
Brown,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brown.svg
Bryant,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bryant.svg
Bucknell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg
Buffalo,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/buffalo.svg
Butler,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/butler.svg
Cal Poly,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly.svg
California,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california.svg
Campbell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg
Central Ark,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-ark.svg
Central Conn State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-conn-st.svg
Central Michigan,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/central-mich.svg
Charleston So,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charleston-so.svg
Charlotte,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/charlotte.svg
Chattanooga,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/chattanooga.svg
Cincinnati,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cincinnati.svg
The Citadel,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/citadel.svg
Clemson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/clemson.svg
Coastal Caro,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/coastal-caro.svg
Colgate,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/colgate.svg
Colorado,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado.svg
Colorado State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/colorado-st.svg
Columbia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/columbia.svg
Cornell,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cornell.svg
Dartmouth,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dartmouth.svg
Davidson,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/davidson.svg
Dayton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dayton.svg
Delaware State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware-st.svg
Drake,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/drake.svg
Duke,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg
Duquesne,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duquesne.svg
East Carolina,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/east-carolina.svg
East Tenn State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/east-tenn-st.svg
Eastern Illinois,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-ill.svg
Eastern Kentucky,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-ky.svg
Eastern Michigan,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-mich.svg
E Washington,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-wash.svg
Elon,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/elon.svg
Fiu,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fiu.svg
Florida,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida.svg
Florida A&M,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-am.svg
Florida Atlantic,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fla-atlantic.svg
Florida State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-st.svg
Fordham,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fordham.svg
Fresno State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fresno-st.svg
Furman,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/furman.svg
Gardner Webb,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gardner-webb.svg
Georgetown,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgetown.svg
Georgia,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia.svg
Georgia Southern,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ga-southern.svg
Georgia State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-st.svg
Georgia Tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-tech.svg
Grambling State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/grambling.svg
Hampton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hampton.svg
Harvard,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/harvard.svg
Hawaii,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/hawaii.svg
Holy Cross,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/holy-cross.svg
Houston,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/houston.svg
Houston Christian,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/houston-christian.svg
Howard,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/howard.svg
Idaho,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/idaho.svg
Idaho State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/idaho-st.svg
Illinois,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois.svg
Illinois State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/illinois-st.svg
Indiana,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana.svg
Indiana State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/indiana-st.svg
Iowa,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa.svg
Iowa State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/iowa-st.svg
Jackson State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jackson-st.svg
Jacksonville State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville-st.svg
James Madison,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/james-madison.svg
Kansas,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas.svg
Kansas State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas-st.svg
Kennesaw State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kennesaw-st.svg
Kent State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kent-st.svg
Kentucky,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kentucky.svg
LSU,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lsu.svg
Lafayette,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lafayette.svg
Lamar,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lamar.svg
Lehigh,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lehigh.svg
Liberty,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/liberty.svg
Lindenwood Mo,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lindenwood-mo.svg
Long Island,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-island.svg
Louisiana,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-lafayette.svg
Louisiana Monroe,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-monroe.svg
Louisiana Tech,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/louisiana-tech.svg
Louisville,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/louisville.svg
Maine,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maine.svg
Marist,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marist.svg
Marshall,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marshall.svg
Maryland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg
Massachusetts,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/massachusetts.svg
Mcneese State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mcneese.svg
Memphis,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/memphis.svg
Mercer,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mercer.svg
Merrimack,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/merrimack.svg
Miami,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-fl.svg
Miami (OH),https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-oh.svg
Michigan,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg
Michigan State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg
Middle Tennessee,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/middle-tenn.svg
Minnesota,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/minnesota.svg
Mississippi State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mississippi-st.svg
Miss Valley State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/mississippi-val.svg
Missouri,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri.svg
Monmouth,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/monmouth.svg
Montana,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/montana.svg
Montana State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/montana-st.svg
Morehead State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/morehead-st.svg
Morgan State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/morgan-st.svg
Murray State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/murray-st.svg
Navy,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/navy.svg
Nc Central,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nc-central.svg
NC A&T State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nc-at.svg
Nebraska,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nebraska.svg
Nevada,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/nevada.svg
New Hampshire,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-hampshire.svg
New Mexico,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-mexico.svg
New Mexico State,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/new-mexico-st.svg
