Bowl Name,URL
68 Ventures Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/68%20Ventures%20Bowl/ccde21ffac0147a2-520490b2355390b8-00005dd4.png?raw=true
Alamo Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Alamo%20Bowl/15e44687d5378fb8-e1787ad6f444b577-00005dd4.png?raw=true
Arizona Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Arizona%20Bowl/8f7b3dd1dcbe9063-ebff8368b3526dff-00006214.png?raw=true
Armed Forces Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Armed%20Forces%20Bowl/4e31ff47f8d73305-e0f692a5db49cc95-00005dd4.png?raw=true
Birmingham Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Birmingham%20Bowl/663d785e5f9f5d47-2bd571a4ea405b21-00005dd3.png?raw=true
Citrus Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Citrus%20Bowl/6e9948de82233ced-bb8036241847e2ac-00005dd4.png?raw=true
Cotton Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Cotton%20Bowl%20Classic/e93e8bb941bcb9aa-f7d5cf34e239112a-00005dd4.png?raw=true
Cure Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Cure%20Bowl/c1162d3801530817-36d17e1de3cdc660-00005993.png?raw=true
Duke's Mayo Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Duke%20Mayo%20Bowl/49434a11a1b0bc94-7b72b70fbf6a9a24-00005dd4.png?raw=true
Emerald Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Emerald%20Bowl/96db5f36f76c2ee0-55484ae0066f95d9-00006214.png?raw=true
Fiesta Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Fiesta%20Bowl/893270d23b908046-6a814b38cc9585ea-00005dd4.png?raw=true
GameAbove Sports Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/GameAbove%20Sports%20Bowl/440d98158c24327e-26ea4399ffa9e2c9-00005dd4.png?raw=true
Gasparilla Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Gasparilla%20Bowl/3b2f4bcca3026c25-a0012d288e4ee377-00005dd4.png?raw=true
Gator Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Gator%20Bowl/4bfae31aff28eff9-8449414295c12c72-00005dd4.png?raw=true
Guaranteed Rate Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Guaranteed%20Rate%20Bowl/3635ff79cf81f6b0-fa887c47d072fae-00005dd3.png?raw=true
Hawaii Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Hawaii%20Bowl/a3aa596052f8b224-d2ad39e810f51e67-00005dd4.png?raw=true
Holiday Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Holiday%20Bowl/62670411260024aa-bb7c51a774fdffec-00005dd4.png?raw=true
Independence Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Independence%20Bowl/bc4f13a7a47621c9-261a8a87a3a61326-00005dd4.png?raw=true
Idaho Potato Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Idaho%20Potato%20Bowl/32099c7e1392d47d-386ec313bd71d890-00005dd4.png?raw=true
Las Vegas Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Las%20Vegas%20Bowl/1fd6832cc5414b11-50afabcbd0212018-00005dd4.png?raw=true
LendingTree Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/LendingTree%20Bowl/d474f96ca82d7bd7-8f2dd34c53ce2287-00005dd4.png?raw=true
Liberty Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Liberty%20Bowl/22bd36e934639d61-ebff94a6ddfe0127-00005dd4.png?raw=true
Los Angeles Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Los%20Angeles%20Bowl/27114ffdbdeb7e1a-11ad43772305f0be-00005dd4.png?raw=true
Music City Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Music%20City%20Bowl/f049e35441c52c92-21ffafbedab756d5-00005dd4.png?raw=true
Myrtle Beach Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Myrtle%20Beach%20Bowl/d4aa85b1a7279c62-594be6671cec97a2-00005dd4.png?raw=true
New Mexico Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/New%20Mexico%20Bowl/e47671a41e415324-9ea0f02ff4c54ca2-00006214.png?raw=true
New Orleans Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/New%20Orleans%20Bowl/9c2d75043fb4cd14-d34e77473ce21c93-00005dd4.png?raw=true
Orange Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Orange%20Bowl/2522325f11158abc-25cfdb5ba9a4ee93-00005dd4.png?raw=true
Peach Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Peach%20Bowl/4a0fa15b7eb37422-1146706725139c06-00005dd4.png?raw=true
Pop-Tarts Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Pop-Tart%20Bowl/e30cf83b10290fd1-bc80f35627d05634-00005dd4.png?raw=true
Quick Lane Bowl,https://github.com/ncaanext/ncaa-next-26/blob/main/textures/SLUS-21214/replacements/bowls/Bowl%20Games/Quick%20Lane%20Bowl/97f9821b975599d4-2b0932d8ad8573f5-00005dd4.png?raw=true
